"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2006-01",0.5386238925,0.3898641575,0.6247450775,0.448314547,0.26106654,-0.3092482425,1.1365436045,1.103859765,2.3733732,0.6648169925,0.2608160175,1.444465875,0.2960798375,1.414209995,-0.026042125,1.400601165,0.846310095,1.0390007675,0.23787205,-0.428699275,0.23816584825,1.02937133,0.7728723675,1.67440318,0.3293297875,0.10930759,0.94685705,-0.4763208175,0.7924866,0.3627833975
"2006-02",-0.801262868,0.142399096,0.2924144128,0.049616047,-0.3323546028,0.055354824,0.630432116,0.389936262,0.190912736,-0.028351003,-1.35680775,0.5154761058,-0.204928006,1.050632478,0.75578737,-0.4045825836,-0.3979151148,-0.252124002,-0.0584993262,0.7546896002,0.272396732,0.2257603822,0.18655389,-0.1568137706,0.091402868,-0.181575162,0.595907238,-0.200001528,0.78104823,-0.275318466
"2006-03",-0.1529757775,-0.52639124,-0.984750035,-0.260222333,-0.882407315,-1.0833095475,-0.6339172725,0.3045030425,-0.495504115,-0.7363306675,-0.3437492475,-0.1762934725,-1.23795764,-0.1258990925,-1.052556425,-4.0379467375,-0.57659427,-0.38593529125,-1.18918587,0.02886212525,0.987469705,-0.1399440375,-0.6922093025,0.0566109749999999,-0.45204644675,-0.2757392925,-0.9642757725,-0.218709895,0.0649757975,-0.7367715975
"2006-04",1.683320702,-0.029825362,0.7457447668,0.927391198,0.27179227,0.619144744,2.153626096,-0.2465622826,0.259913314,0.891418708,0.1742385638,0.248612512,-0.251682708,-0.2755571294,-0.098072468,-0.067353086,-0.0632809698,-0.6983226892,0.890147024,0.415463322,-0.45810038,0.866875038,1.056559382,1.05196715,0.657536078,1.338462188,0.75456732,0.369048868,-0.5168735194,-0.713506962
"2006-05",-0.445612752,-0.825267806,-0.3543184392,0.675800754,-0.789042924,0.688218174,0.178534022,-0.958380064,-0.70364874,-0.50499366,-0.4871721022,0.052790532,-0.0527055188,-0.4441009576,-0.082491744,-0.883152096,-0.265879384,-0.462279178,-0.114290078,-0.1822923934,0.4962603914,-0.187587662,-0.207025292,-0.545761952,-0.0275567736,-0.54316367,-0.324881044,-0.13499035,-0.05222435,-0.3993503678
"2006-06",0.216662402,0.056706292,0.2561843272,0.5496807876,0.410308028,0.464258866,0.187353126,-0.299317356,1.766648876,0.146928292,0.9203614156,-0.618600336,0.271357068,0.635569808,-0.271965414,0.56242047,0.32306398,0.3560495766,0.207666122,-0.052342664,0.255302072,-0.0350997814,-0.616192864,0.3592958056,0.01086986,-0.00620079159999999,0.9875620006,0.1135339648,1.3632171048,0.4180524558
"2006-07",-0.2902822694,0.273502462,0.5422525874,0.56558694,0.3406588998,0.099108392,0.95274622,0.195658878,0.09470228,0.2930453088,0.3776546738,0.3542770436,0.1864542282,1.613207456,1.279559978,-0.6865699248,-0.1389174822,0.2461868114,0.4337798232,0.379148834,-0.1716347974,0.985642926,-0.004240524,0.078773758,0.432975606,0.2695339956,0.948180874,0.163776616,0.138378668,0.30593477
"2006-08",-0.1974226825,-0.13819249725,0.18471584,-0.62220204,0.561855925,0.462100635,0.22715913,0.2009240445,0.02858862,0.274421485,-0.703050015,-0.05084815,-0.33354367,-1.4805742275,-0.083167902775,-0.2610223675,-0.16709689625,-0.5488530325,0.5464128125,0.59658397125,-0.50392593,-0.64011209,-0.01766136975,0.5815577,0.220804635,0.4187690475,-0.6968248275,-0.3586673075,0.9892647825,0.0595057475
"2006-09",0.16791569,-0.083676068,-0.4022174544,0.26519395,-0.227161908,-0.22022786,0.5287050878,-0.2051976218,1.17328209,-0.244011126,0.3371539072,0.189456928,-0.045494106,0.796146698,0.2612569,-0.07410135,-0.0370293594,-0.107026034,-0.040487246,-0.377343162,-0.295138672,0.0140419984,0.197812024,-0.140238888,-0.607560694,-0.354692646,-0.142528338,-0.055521676,0.197629078,-0.274286178
"2006-10",-0.7630440848,0.4703185,0.183401386,-0.48249467,0.35271793,0.378046802,-1.010340716,-1.052087016,-0.1925575082,0.508509082,-0.03978002,-0.591379094,0.3535245244,-0.1358124654,-0.43746099,-0.4403266968,0.405325158,0.535561486,-0.210990632,0.589719628,-0.0858801522,-0.198559984,0.1646426846,-0.090419217,0.851451458,-0.00225540440000001,0.364105816,-0.0041589658,-0.054945108,-0.15261254
