STOCK,INDUSTRY_SECTOR,INDUSTRY_SECTOR_NUM,INDUSTRY_GROUP,INDUSTRY_GROUP_NUM,INDUSTRY_SUBGROUP,INDUSTRY_SUBGROUP_NUM
JAVA ,Technology,10013,Computers,20106,Computers,668
ORCL ,Technology,10013,Software,20109,Enterprise Software/Serv,644
MSFT ,Technology,10013,Software,20109,Applications Software,422
AYE ,Utilities,10014,Electric,20110,Electric-Integrated,265
TROW ,Financial,10008,Diversified Finan Serv,20054,Invest Mgmnt/Advis Serv,303
HON ,Industrial,10011,Electronics,20081,Instruments-Controls,197
EMC ,Technology,10013,Computers,20106,Computers-Memory Devices,245
FO ,"Consumer, Non-cyclical",10005,Beverages,20036,Beverages-Wine/Spirits,167
LLTC ,Technology,10013,Semiconductors,20108,Semicon Compo-Intg Circu,658
GENZ ,"Consumer, Non-cyclical",10005,Biotechnology,20037,Medical-Biomedical/Gene,252
ADM ,"Consumer, Non-cyclical",10005,Agriculture,20035,Agricultural Operations,78
SOV ,Financial,10008,Savings&Loans,20059,S&L/Thrifts-Eastern US,151
FISV ,Technology,10013,Software,20109,Data Processing/Mgmt,424
BC ,"Consumer, Cyclical",10004,Leisure Time,20028,Leisure&Rec Products,40
UIS ,Technology,10013,Computers,20106,Computer Services,251
CERN ,Technology,10013,Software,20109,Medical Information Sys,427
CMVT ,Communications,10003,Telecommunications,20017,Telecommunication Equip,262
DELL ,Technology,10013,Computers,20106,Computers,668
KO ,"Consumer, Non-cyclical",10005,Beverages,20036,Beverages-Non-alcoholic,81
ED ,Utilities,10014,Electric,20110,Electric-Integrated,265
CELG ,"Consumer, Non-cyclical",10005,Biotechnology,20037,Medical-Biomedical/Gene,252
XRAY ,"Consumer, Non-cyclical",10005,Healthcare-Products,20041,Dental Supplies&Equip,129
DCN ,"Consumer, Cyclical",10004,Auto Parts&Equipment,20021,Auto/Trk Prts&Equip-Orig,28
FAST ,"Consumer, Cyclical",10004,Distribution/Wholesale,20022,Distribution/Wholesale,51
DTE ,Utilities,10014,Electric,20110,Electric-Integrated,265
DD ,Basic Materials,10002,Chemicals,20010,Chemicals-Diversified,1
EK ,Industrial,10011,Miscellaneous Manufactur,20088,Photo Equipment&Supplies,227
ETN ,Industrial,10011,Miscellaneous Manufactur,20088,Diversified Manufact Op,223
XOM ,Energy,10007,Oil&Gas,20048,Oil Comp-Integrated,136
MXIM ,Technology,10013,Semiconductors,20108,Semicon Compo-Intg Circu,658
